Muscle;Nom proposé;Ce que tu avais écrit;Type;Bloc;Niveaux proposés;Niveaux hérités;Pourquoi ce niveau a été corrigé;Muscles secondaires;Matériel;Remplace;Consigne (ta remarque);À CORRIGER
Abdominaux;Crunch bras tendus au-dessus de la tête;crunch bras tendu au desuss de la tete;iso;C;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Épaules, Dos;aucun;Roulette abdominale;Bras tendus au-dessus de la tête, décolle les omoplates sans tirer sur la nuque. Trop facile ? Tiens un sac chargé entre les mains.;
Abdominaux;L-sit au sol;L sit (sur le sol);poly;C;avancé;avancé;le mouvement lui-même bloque, pas la charge;Triceps;aucun;L-sit;Assis au sol, mains à plat de chaque côté des hanches, décolle le bassin et tends les jambes à l'horizontale. Garde la position.;
Abdominaux;Relevés de jambes au sol;Relevés de jambes allongé sur le dos;iso;C;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;—;aucun;Relevés de jambes suspendu;Allongé sur le dos, mains sous les fesses, monte les jambes tendues sans décoller le bas du dos. Trop facile ? Serre un sac chargé entre les pieds.;
Abducteurs;Abduction de hanche allongé sur le côté;abducteur allongé;iso;C;déb. inter. avancé;déb. inter. avancé;;Fessiers;aucun;Abducteur machine;Allongé sur le côté, monte la jambe du dessus tendue, contrôle la descente. Trop facile ? Pose un sac chargé sur la cuisse.;
Biceps;Curl avec sac;curl avec sac / curl sac;iso;C;déb. inter. avancé;déb. inter. avancé;;Avant-bras;aucun;Curl aux anneaux · Curl élastique · Curl barre EZ;Prends un sac par les poignées, paumes vers le haut (supination), et remplis-le au poids voulu. Coudes fixes le long du corps.;
Biceps;Curl avec sac alterné;curl sac alterné;iso;B;déb. inter. avancé;déb. inter. avancé;;Avant-bras;aucun;Curl haltères alternés;Un sac dans chaque main en supination, un bras après l'autre. Coudes fixes le long du corps.;
Biceps;Curl incliné sur chaise avec sac;curl incliné chaise;iso;C;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;—;aucun;Curl incliné haltères;Assis au bord de la chaise, haut du dos contre le dossier, bras qui pendent le long du dossier. Curl en gardant les coudes en arrière — c'est cet étirement qui fait l'exercice.;
Biceps, Avant-bras;Curl marteau avec sac;curl marteau avec sac;iso;C;déb. inter. avancé;déb. inter. avancé;;—;aucun;Curl marteau;Prends le sac par les poignées, pouces vers le haut (prise neutre), et remplis-le au poids voulu.;
Dos;Pullover avec sac;Pullover sac à dos / pull over;iso;C;déb. inter. avancé;déb. inter. avancé;;Pectoraux, Triceps, Abdominaux;aucun;Tirage poulie bras tendus · Pull-over poulie;Allongé en travers d'un lit ou d'une chaise, tout le dos en appui. Un sac tenu à deux mains, bras légèrement fléchis (15-20°) et cet angle ne bouge plus. Descends jusqu'à sentir l'étirement des dorsaux, puis ramène les coudes vers les hanches — ne pousse pas avec les bras. Arrête la montée quand les bras sont au-dessus de la poitrine.;
Dos;Rowing avec sac;rowing sac;poly;A;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Biceps, Épaules;aucun;Rowing barre;Buste penché à environ 45°, dos plat, un sac chargé dans chaque main. Tire les coudes vers les hanches.;
Dos;Rowing bûcheron avec sac;tirage bucheron avec sac;poly;B;déb. inter. avancé;déb. inter.;charge réglable par le sac → accessible aux trois niveaux;Biceps;aucun;Rowing TRX;Un genou et une main en appui sur une chaise, l'autre main tient le sac. Tire le coude le long du corps, sans tourner le buste.;
Dos;Rowing unilatéral avec sac;rowing unilatéral;poly;B;déb. inter. avancé;déb. inter. avancé;;Biceps;aucun;Rowing haltère unilatéral;Buste penché, une main en appui, l'autre tient le sac. Tire le coude vers la hanche.;
Dos;Traction pronation (barre de fortune);traction pronation (sans matos);poly;A;déb. inter. avancé;déb. inter. avancé;accessible à un débutant avec un pied posé sur une chaise pour s'aider (voir consigne);Biceps, Épaules;aucun;Traction pronation · Tirage vertical pronation;Une barre solide suffit : dessous d'escalier, barre de but, structure fixe. Paumes vers l'avant. Débutant : pose un pied sur une chaise pour t'aider, et retire de l'aide au fil des semaines. Avancé : sac à dos chargé. Évite les huisseries de porte, elles ne sont pas prévues pour supporter un corps.;
Dos, Biceps;Traction supination (barre de fortune);traction supination (sans matos);poly;A;déb. inter. avancé;inter. avancé;idem pronation — assistance d'un pied sur une chaise;Épaules;aucun;Traction supination (chin-up);Même chose en prise supination, paumes vers toi — les biceps travaillent davantage. Débutant : un pied sur une chaise pour t'aider. Évite les huisseries de porte.;
Dos, Ischio-jambiers, Fessiers;Soulevé de terre avec sac;soulevé de terre avec sac;poly;A;déb. inter. avancé;inter. avancé;charge réglable par le sac → accessible aux trois niveaux;Quadriceps, Mollets;aucun;Soulevé de terre;Un sac chargé dans chaque main, le long des jambes. Dos plat, pousse dans le sol avec les jambes et termine hanches tendues.;
