Muscle;Exercice à remplacer;Type;Occurrences;Niveaux;Matériel exigé;Manque à;Alternatives sans aucun matériel (même muscle);SUBSTITUTION (à remplir);Remarque
Abdominaux;Relevés de jambes suspendu;iso;175;inter. avancé;Barre de traction  OU  Captain chair;haltères seuls;Planche (déb. inter. avancé) · Gainage latéral (déb. inter. avancé) · Russian twist (déb. inter. avancé) · Crunch au sol (déb.) · Dead bug (déb. inter.) · Hollow body hold (inter. avancé) · Mountain climbers (déb. inter. avancé);Relevés de jambes allongé sur le dos ;si trop facile, sac a dos au bout des pieds
Abdominaux;Crunch câble;iso;131;inter. avancé;Câble poulie haute;street complet · home_barbell · haltères seuls;Planche (déb. inter. avancé) · Gainage latéral (déb. inter. avancé) · Russian twist (déb. inter. avancé) · Crunch au sol (déb.) · Dead bug (déb. inter.) · Hollow body hold (inter. avancé) · Mountain climbers (déb. inter. avancé);crunch;si trop facile, sac a dos dans les mains 
Abdominaux;L-sit;poly;66;avancé;Barres parallèles  OU  Captain chair;home_barbell · haltères seuls;Planche (déb. inter. avancé) · Gainage latéral (déb. inter. avancé) · Russian twist (déb. inter. avancé) · Crunch au sol (déb.) · Dead bug (déb. inter.) · Hollow body hold (inter. avancé) · Mountain climbers (déb. inter. avancé);L sit (sur le sol);
Abdominaux;Crunch machine;iso;63;déb. inter. avancé;Crunch abdos machine;street complet · home_barbell · haltères seuls;Planche (déb. inter. avancé) · Gainage latéral (déb. inter. avancé) · Russian twist (déb. inter. avancé) · Crunch au sol (déb.) · Dead bug (déb. inter.) · Hollow body hold (inter. avancé) · Mountain climbers (déb. inter. avancé);crunch;si trop facile, sac a dos dans les mains 
Abdominaux;Roulette abdominale;poly;42;inter. avancé;Roulette abdominale;street complet · home_barbell · haltères seuls;Planche (déb. inter. avancé) · Gainage latéral (déb. inter. avancé) · Russian twist (déb. inter. avancé) · Crunch au sol (déb.) · Dead bug (déb. inter.) · Hollow body hold (inter. avancé) · Mountain climbers (déb. inter. avancé);crunch bras tendu au desuss de la tete;si trop simple ajout un sac dans les mains
Biceps;Curl barre EZ;iso;166;déb. inter. avancé;Barre EZ;street complet · home_barbell · haltères seuls;AUCUNE — exercice à créer;curl sac ;prend un sac en supination et charge le comme tu veux 
Biceps;Curl haltères alternés;iso;22;déb. inter. avancé;Haltères;street complet;AUCUNE — exercice à créer;curl sac alterné;prend un sac en supination et charge le comme tu veux et un bras apres l autre pour l execution 
Biceps;Curl incliné haltères;iso;17;inter. avancé;Haltères + Banc réglable;street complet;AUCUNE — exercice à créer;curl incliné chaise ;dos doit, fessier au bord de la chaise, haut du dos sur le dossier et curl en gardant les bras le long du dossier, avec sac a dos si pas d haltèere
Dos;Traction pronation;poly;228;inter. avancé;Barre de traction  OU  Anneaux de gymnaste;haltères seuls;AUCUNE — exercice à créer;traction pronation (sans matos);avec un coin de table, crossbar de but, sous des escaliers ect, sac a dos si trop simple pour rajouté du poids)
Dos;Pull-over poulie;iso;74;inter. avancé;Câble poulie haute;street complet · home_barbell · haltères seuls;AUCUNE — exercice à créer;pull over ;on a déjà sur l autre doc, avec des sac dans chaque main et l execution reprend ça 
